symbol,name,price,assets,avg_vol,ytd,inverse,leveraged,week1,week4,year1,year3,year5,etfdb,inception,er,commission_free,annual_dividend_rate,dividend_date,dividend,annual_dividend_yield,p_e_ratio,beta,holdings,top_10,l_bollinger,u_bollinger,support1,resistance1,rsi,day_200,cap_gains,lt_cap_gains,tax_form,liquidity,expenses,performance,volatility,score_dividend,concentration,overall
TUTT,Tuttle Tactical Management U.S. Core ETF,22.05,68634,16623,-2.00%,No,No,0.92%,-0.05%,-2.84%,n/a,n/a,All Cap Equities,2015-02-25,1.34%,Not Available,$0.04,2015-12-21,$0.04,0.17%,19.89,-0.88,12,98.01%,$21.75,$22.20,$22.03,$22.08,51,8.23%,35%,15%,1099,B+,C,C+,A+,n/a,C,B
MEAR,iShares Short Maturity Municipal Bond ETF,50.07,32513,8106,0.31%,No,No,0.02%,-0.14%,0.58%,n/a,n/a,National Munis,2015-03-03,0.25%,Not Available,$0.22,2016-06-21,$0.03,0.45%,n/a,-0.12,49,40.20%,$49.99,$50.18,n/a,n/a,45,1.31%,35%,15%,1099,C+,B,C,A,C,n/a,C+
HOMX,ETRACS ISE Exclusively Homebuilders ETN,24.92,24920,317,6.31%,No,No,0.00%,9.73%,-13.68%,n/a,n/a,Building & Construction ,2015-03-10,0.40%,Not Available,n/a,n/a,n/a,n/a,n/a,-10.94,n/a,n/a,$18.22,$26.99,n/a,n/a,52,n/a,35%,15%,1099,n/a,A,n/a,n/a,n/a,n/a,n/a
HOML,ETRACS Monthly Reset 2xLeveraged ISE Exclusively Homebuilders ETN,23.01,23010,903,1.72%,No,2x,-2.42%,-0.43%,-15.09%,n/a,n/a,Leveraged Equities,2015-03-10,0.85%,Not Available,n/a,n/a,n/a,n/a,n/a,6.40,n/a,n/a,$21.16,$24.46,$23.01,$23.01,53,58.09%,35%,15%,1099,B,A-,n/a,B-,n/a,n/a,n/a
VLSM,Direxion Value Line Small- and Mid-Cap High Dividend ETF,22.13,2236,6742,-1.14%,No,No,0.73%,7.58%,-10.85%,n/a,n/a,Mid Cap Value Equities,2015-03-11,0.58%,Charles Schwab,$0.99,2016-02-23,$0.19,4.45%,14.44,1.41,52,25.27%,$20.77,$22.74,$22.09,$22.21,58,19.52%,35%,15%,1099,n/a,B-,n/a,n/a,n/a,n/a,n/a
VLML,Direxion Value Line Mid- and Large-Cap High Dividend ETF,23.53,2373,6384,3.72%,No,No,0.47%,12.40%,-6.28%,n/a,n/a,Large Cap Value Equities,2015-03-11,0.58%,Not Available,$0.82,2016-02-23,$0.22,3.45%,13.65,2.09,52,25.25%,$20.03,$24.74,$23.50,$23.59,60,29.50%,35%,15%,1099,C,C+,n/a,n/a,C,n/a,n/a
VLLV,Direxion Value Line Conservative Equity ETF,25.82,1291.5,2121,2.96%,No,No,2.54%,6.69%,4.68%,n/a,n/a,Large Cap Value Equities,2015-03-11,0.58%,Not Available,$1.27,2016-02-23,$0.79,4.90%,18.72,0.98,135,11.46%,$23.22,$26.29,$25.81,$25.82,69,17.41%,35%,15%,1099,C,C+,n/a,n/a,C,n/a,n/a
FFTY,Innovator IBD 50 Fund,23.54,36704,17871,6.18%,No,No,1.86%,2.08%,4.48%,n/a,n/a,Small Cap Growth Equities,2015-04-09,0.80%,Not Available,n/a,n/a,n/a,n/a,29.42,1.42,51,35.13%,$22.61,$23.75,$23.42,$23.71,57,15.47%,,,,n/a,C+,n/a,n/a,n/a,n/a,n/a
XRLV,PowerShares S&P 500 ex-Rate Sensitive Low Volatility Portfolio ETF,27.71,171400.5,35731,9.89%,No,No,1.50%,-0.44%,18.51%,n/a,n/a,Large Cap Blend Equities,2015-04-09,0.25%,Not Available,$0.45,2016-09-15,$0.03,1.61%,19.69,-0.90,100,12.29%,$27.09,$28.27,$27.66,$27.77,50,10.79%,35%,15%,1099,B+,A-,n/a,A,B,n/a,A-
QUS,SPDR MSCI USA Quality Mix ETF,63.11,12678,3048,6.27%,No,No,1.56%,0.19%,16.00%,n/a,n/a,Large Cap Blend Equities,2015-04-15,0.15%,Not Available,$1.30,2016-09-16,$0.31,2.05%,17.99,0.72,613,13.49%,$61.73,$63.97,$63.08,$63.17,54,13.71%,35%,15%,1099,C+,A,n/a,n/a,B,n/a,n/a
SGDJ,Sprott Junior Gold Miners Exchange Traded Fund,42.96,60318,20617,123.17%,No,No,3.92%,2.19%,102.79%,n/a,n/a,Commodity Producers Equities,2015-03-31,0.57%,Not Available,$0.16,2015-12-23,$0.16,0.36%,32.46,-5.07,37,55.33%,$39.47,$46.12,$42.21,$44.24,49,56.96%,35%,15%,1099,B-,B+,n/a,C,n/a,n/a,n/a
LRET,ETRACS Monthly Pay 2xLeveraged MSCI US REIT Index ETN,29.98,29980,3069,21.88%,No,2x,7.07%,0.63%,38.79%,n/a,n/a,Leveraged Real Estate,2015-05-05,0.85%,Not Available,$2.07,2016-09-09,$0.16,6.91%,n/a,-3.36,n/a,n/a,$27.28,$31.90,n/a,n/a,51,30.44%,35%,15%,1099,n/a,A-,n/a,n/a,n/a,n/a,n/a
LRGF,iShares\ FactorSelect MSCI USA ETF,25.35,111980,20614,6.27%,No,No,1.93%,1.16%,10.27%,n/a,n/a,Large Cap Value Equities,2015-04-28,0.35%,Not Available,$0.33,2016-06-21,$0.11,1.28%,15.10,0.97,137,21.88%,$24.67,$25.51,$25.30,$25.41,56,12.61%,35%,15%,1099,n/a,B+,n/a,n/a,n/a,n/a,n/a
SMLF,iShares FactorSelect MSCI USA Small-Cap ETF,32.19,16065,2049,9.05%,No,No,2.71%,2.39%,12.08%,n/a,n/a,Small Cap Value Equities,2015-04-28,0.50%,Not Available,$0.29,2016-06-21,$0.05,0.90%,16.68,1.30,567,8.90%,$30.87,$32.35,$32.09,$32.24,60,15.73%,35%,15%,1099,n/a,C,n/a,n/a,n/a,n/a,n/a
DHVW,Diamond Hill Valuation-Weighted 500 index ETF,24.89,16256.5,9471,6.78%,No,No,1.26%,0.61%,12.92%,n/a,n/a,Large Cap Blend Equities,2015-05-12,0.10%,Not Available,$0.43,2016-06-14,$0.10,1.70%,21.90,0.82,501,19.90%,$24.42,$25.16,$24.86,$24.94,54,11.61%,35%,15%,1099,B,A,n/a,B+,B-,n/a,B+
SCIU,Scientific Beta US ETF,26.08,67964,15518,7.41%,No,No,2.03%,0.35%,10.97%,n/a,n/a,Large Cap Blend Equities,2015-05-12,0.19%,Not Available,$0.29,2015-12-29,$0.29,1.11%,19.73,0.92,451,8.22%,$25.44,$26.43,$26.06,$26.11,53,11.52%,35%,15%,1099,C+,A-,n/a,C+,B-,n/a,B-
CAPX,Elkhorn S&P 500 Capital Expenditures Portfolio ETF,24.83,2588.6,826,9.78%,No,No,1.22%,-1.08%,16.53%,n/a,n/a,Large Cap Growth Equities,2015-05-27,0.29%,Not Available,$0.45,2016-06-22,$0.04,1.79%,19.20,2.24,102,12.18%,$24.30,$25.29,$24.82,$24.85,55,24.87%,35%,15%,1099,C,B+,n/a,C+,A-,B-,B
LABU,Direxion Daily S&P Biotech Bull 3x Shares ETF,53.45,243564.4,3437763,-36.67%,No,3x,16.83%,36.56%,-50.93%,n/a,n/a,Leveraged Equities,2015-05-28,0.95%,Not Available,n/a,n/a,n/a,n/a,21.70,7.94,10,304.04%,$32.51,$54.63,$52.53,$55.13,64,96.99%,35%,15%,1099,A,B+,n/a,n/a,n/a,n/a,n/a
LABD,Direxion Daily S&P Biotech Bear 3x Shares ETF,16.07,91745,2986468,-48.31%,Yes,3x,-15.55%,-31.06%,-58.44%,n/a,n/a,Inverse Equities,2015-05-28,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-7.94,8,389.45%,$15.03,$26.42,$15.58,$16.33,35,97.42%,35%,15%,1099,n/a,B,n/a,n/a,n/a,n/a,n/a
GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 3x Shares ETF,75.56,78619.5,283420,13.97%,No,3x,-0.33%,-10.21%,-30.62%,n/a,n/a,Leveraged Equities,2015-05-28,0.95%,Not Available,n/a,n/a,n/a,n/a,21.64,8.01,14,308.02%,$70.94,$94.03,$71.36,$81.72,48,100.12%,35%,15%,1099,A-,B+,n/a,n/a,n/a,n/a,n/a
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull and Bear 3x Shares ETF,24.78,25849.8,387394,-76.28%,Yes,3x,-1.86%,3.29%,-77.17%,n/a,n/a,Inverse Equities,2015-05-28,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-8.02,7,334.08%,$21.19,$26.51,$23.07,$25.93,47,98.88%,35%,15%,1099,n/a,C,n/a,n/a,n/a,n/a,n/a
EQWL,PowerShares Russell Top 200 Equal Weight Portfolio ETF,41.45,31297.5,1205,7.89%,No,No,1.57%,0.18%,13.57%,n/a,n/a,Large Cap Blend Equities,2006-12-01,0.25%,Not Available,$0.76,2016-09-16,$0.20,1.81%,17.84,0.77,202,5.90%,$40.58,$42.00,$41.40,$41.54,54,12.92%,35%,15%,1099,B-,A-,n/a,B+,B+,n/a,B+
EQWM,PowerShares Russell Midcap Equal Weight Portfolio ETF,40.50,24468,1134,11.87%,No,No,1.94%,-0.26%,14.74%,n/a,n/a,Mid Cap Blend Equities,2006-12-01,0.25%,Charles Schwab,$0.60,2016-09-16,$0.14,1.47%,22.25,1.20,790,3.69%,$39.45,$41.38,$40.41,$40.68,52,15.97%,35%,15%,1099,n/a,A-,n/a,n/a,n/a,n/a,n/a
EQWS,PowerShares Russell 2000 Equal Weight Portfolio ETF,36.07,12645.5,669,13.70%,No,No,3.26%,2.43%,12.33%,n/a,n/a,Small Cap Blend Equities,2006-12-01,0.25%,Not Available,$0.32,2016-09-16,$0.11,0.88%,54.06,1.29,1934,2.98%,$34.48,$35.96,$36.01,$36.10,64,16.85%,35%,15%,1099,n/a,B+,n/a,n/a,n/a,n/a,n/a
CJNK,SPDR BofA Merrill Lynch Crossover Corporate Bond ETF,26.46,36946,3340,11.08%,No,No,0.99%,0.30%,7.22%,n/a,n/a,High Yield Bonds,2012-06-18,0.30%,Not Available,$0.64,2016-09-01,$0.09,2.43%,n/a,0.52,683,5.36%,$26.15,$26.56,$26.33,$26.58,56,7.90%,35%,15%,1099,n/a,A,n/a,n/a,C,A,n/a
IUSG,iShares Core U.S. Growth ETF,42.78,981407.5,111638,6.30%,No,No,1.49%,0.42%,11.72%,36.74%,112.07%,Large Cap Growth Equities,2000-07-24,0.09%,Not Available,$1.16,2016-07-06,$0.34,2.69%,24.53,1.00,1770,23.08%,$41.72,$43.16,$42.67,$42.92,55,12.20%,35%,15%,1099,A-,A,B+,A,B+,A+,A
IUSV,iShares Core U.S. Value ETF,46.18,850706,84031,10.14%,No,No,1.63%,0.02%,15.80%,28.35%,110.58%,Large Cap Value Equities,2000-07-24,0.09%,Not Available,$3.20,2016-07-06,$0.83,6.90%,16.96,1.06,2044,21.89%,$45.23,$46.96,$46.09,$46.31,53,12.98%,35%,15%,1099,B-,A,B+,A-,B,n/a,A-
UBIO,UltraPro NASDAQ Biotechnology ETF,31.89,42259.8,166825,-44.87%,No,3x,6.73%,13.09%,-44.20%,n/a,n/a,Leveraged Equities,2015-06-22,0.95%,Not Available,n/a,n/a,n/a,n/a,19.87,-5.82,191,259.55%,$25.38,$32.11,$31.49,$32.65,59,74.89%,35%,15%,1099,B+,B+,n/a,n/a,n/a,n/a,n/a
ZBIO,UltraPro Short NASDAQ Biotechnology ETF,19.51,8613,54983,-4.88%,Yes,3x,-6.52%,-14.32%,-28.40%,n/a,n/a,Inverse Equities,2015-06-22,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-5.77,6,300.03%,$19.17,$25.03,$19.06,$19.74,39,73.79%,35%,15%,1099,n/a,B+,n/a,n/a,n/a,n/a,n/a
HBU,Ultra Homebuilders & Supplies ETF,20.75,1038.5,1537,9.85%,No,2x,3.13%,-3.98%,12.10%,n/a,n/a,Leveraged Equities,2015-06-22,0.95%,Not Available,n/a,n/a,n/a,n/a,14.06,5.90,49,170.09%,$19.49,$21.81,$20.75,$20.75,55,50.81%,35%,15%,1099,B-,B+,n/a,n/a,n/a,n/a,n/a
HBZ,UltraShort Homebuilders & Supplies ETF,14.35,723,1382,-23.47%,Yes,2x,5.13%,1.85%,-28.78%,n/a,n/a,Inverse Equities,2015-06-22,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-8.10,6,208.80%,$13.62,$15.53,$14.35,$14.35,45,51.75%,35%,15%,1099,n/a,B+,n/a,n/a,n/a,n/a,n/a
UOP,Ultra Oil & Gas Exploration & Production ETF,26.85,1450.6,446,24.99%,No,2x,-0.55%,-8.48%,-4.66%,n/a,n/a,Leveraged Equities,2015-06-22,0.95%,Not Available,$0.03,2016-09-21,$0.01,0.11%,21.64,6.98,65,237.16%,$25.91,$32.97,n/a,n/a,46,72.40%,35%,15%,1099,C+,B+,n/a,n/a,n/a,n/a,n/a
SOP,UltraShort Oil & Gas Exploration & Production ETF,14.70,1462,1483,-57.95%,Yes,2x,-8.35%,0.20%,-53.36%,n/a,n/a,Leveraged Equities,2015-06-22,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-6.30,7,398.16%,$13.86,$16.04,$14.70,$14.70,44,77.00%,35%,15%,1099,B-,B+,n/a,n/a,n/a,n/a,n/a
HTUS,HULL TACTICAL FUND ETF,26.27,81468,26346,4.87%,No,No,0.42%,0.84%,6.83%,n/a,n/a,Long-Short,2015-06-24,1.00%,Not Available,n/a,n/a,n/a,n/a,n/a,0.19,3,2.34%,$25.99,$26.26,$26.25,$26.30,65,2.56%,35%,15%,1099,n/a,C+,n/a,n/a,n/a,n/a,n/a
SLDR,ALPS Sector Leaders ETF,24.53,1228.5,3667,3.37%,No,No,8.68%,7.73%,n/a,n/a,n/a,Large Cap Growth Equities,2015-06-30,0.40%,Not Available,$0.12,2015-12-23,$0.06,0.50%,16.86,2.12,46,26.10%,$21.31,$23.66,$24.53,$24.53,64,n/a,35%,15%,1099,C+,B,n/a,n/a,C+,C,C
SLOW,ALPS Sector Low Volatility ETF,26.98,1352,767,6.39%,No,No,2.08%,10.48%,n/a,n/a,n/a,Large Cap Blend Equities,2015-06-30,0.40%,Not Available,$0.30,2015-12-23,$0.17,1.10%,18.23,2.30,47,24.09%,$23.60,$27.39,$26.94,$27.06,61,n/a,35%,15%,1099,C+,B-,n/a,n/a,B-,n/a,n/a
HEWC,iShares Currency Hedged MSCI Canada ETF,23.98,10741.5,2631,14.59%,No,No,1.83%,1.18%,6.47%,n/a,n/a,Foreign Large Cap Equities,2015-06-29,0.51%,Not Available,$0.47,2016-07-06,$0.19,1.95%,14.73,1.04,4,100.53%,$23.37,$24.11,$23.89,$24.02,62,21.51%,35%,15%,1099,B,C+,n/a,n/a,B-,n/a,n/a
PUTX,ALPS Enhanced Put Write Strategy ETF,25.17,2518,7377,2.23%,No,No,0.44%,0.24%,n/a,n/a,n/a,Long-Short,2015-07-07,0.75%,Not Available,$0.12,2015-12-23,$0.12,0.47%,n/a,-0.50,1,0.43%,$24.66,$25.30,$25.16,$25.17,60,15.63%,35%,15%,1099,n/a,A-,n/a,n/a,n/a,n/a,n/a
AGGY,WisdomTree Barclays U.S. Aggregate Bond Enhanced Yield Fund,52.02,108864,14348,8.08%,No,No,0.85%,0.10%,7.44%,n/a,n/a,Total Bond Market,2015-07-09,0.12%,Not Available,$1.41,2016-08-22,$0.12,2.72%,n/a,0.36,432,15.30%,$51.43,$52.42,$51.96,$52.07,54,3.77%,35%,15%,1099,B,A-,n/a,n/a,C+,n/a,n/a
IBMF,iBonds Sep 2017 Term Muni Bond ETF,27.33,200581.5,29857,0.06%,No,No,-0.04%,-0.22%,-0.21%,2.48%,6.01%,National Munis,2010-01-07,0.18%,Not Available,$0.13,2016-04-01,$0.02,0.46%,n/a,-0.12,767,3.66%,$27.29,$27.40,$27.30,$27.34,46,1.40%,35%,15%,1099,B,A-,C,A,B,n/a,B
IBME,iBonds Sep 2016 Term Muni Bond ETF,26.42,119025,,n/a,No,No,n/a,n/a,n/a,n/a,n/a,National Munis,2010-01-07,0.18%,Not Available,n/a,n/a,n/a,0.34%,n/a,n/a,261,38.77%,n/a,n/a,n/a,n/a,0,n/a,35%,15%,1099,B-,A,C,A,B-,n/a,B
IBMH,iBonds Sep 2019 Term Muni Bond ETF,25.68,120367,22083,0.42%,No,No,0.08%,-0.66%,1.38%,n/a,n/a,National Munis,2014-02-04,0.18%,Not Available,$0.14,2016-04-01,$0.03,0.55%,n/a,-0.11,712,8.44%,$25.61,$25.84,$25.65,$25.70,40,1.72%,35%,15%,1099,B,A-,B,C+,B-,n/a,B-
OUSA,O'Shares FTSE US Quality Dividend ETF,27.47,289485,135174,12.00%,No,No,1.33%,-0.54%,22.38%,n/a,n/a,Large Cap Value Equities,2015-07-14,0.48%,Not Available,$0.78,2016-09-15,$0.06,2.81%,20.28,-1.00,140,37.32%,$26.91,$28.00,$27.42,$27.56,49,10.31%,35%,15%,1099,n/a,B-,n/a,n/a,n/a,n/a,n/a
USSD,WisdomTree Strong Dollar U.S. Equity Fund,25.67,1308,729,6.00%,No,No,-2.06%,-2.13%,11.60%,n/a,n/a,Large Cap Blend Equities,2015-07-21,0.33%,Not Available,$0.43,2016-06-20,$0.08,1.63%,19.46,1.34,235,11.65%,$25.45,$26.82,$25.67,$25.67,51,20.26%,35%,15%,1099,C,B,n/a,n/a,B-,n/a,n/a
USWD,Weak Dollar U.S. Equity Fund,25.40,1295.5,236,9.08%,No,No,-0.90%,0.79%,9.41%,n/a,n/a,Large Cap Blend Equities,2015-07-21,0.33%,Not Available,$0.38,2016-06-20,$0.08,1.47%,19.39,2.51,200,11.90%,$23.25,$26.42,$25.40,$25.40,61,n/a,35%,15%,1099,C,B,n/a,n/a,B-,n/a,n/a
DWAQ,PowerShares DWA NASDAQ Momentum Portfolio ETF,77.47,35109,1672,4.13%,No,No,1.68%,1.49%,2.57%,23.75%,89.49%,All Cap Equities,2003-05-01,0.60%,Not Available,$0.13,2016-09-16,$0.01,0.17%,25.28,1.00,101,25.46%,$75.03,$77.98,$77.34,$77.60,59,13.33%,35%,15%,1099,B-,B,C+,B-,C,n/a,C+
CLYH,Interest Rate Hedged 10+ Year Credit Bond ETF,24.13,8386,2659,2.38%,No,No,1.05%,0.54%,1.64%,n/a,n/a,Corporate Bonds,2015-07-22,0.30%,Not Available,$0.47,2016-07-06,$0.03,1.98%,n/a,0.69,5,91.25%,$23.81,$24.18,$24.07,$24.16,57,12.14%,35%,15%,1099,C,C+,n/a,n/a,B-,C,C
EWRE,Guggenheim S&P 500 Equal Weight Real Estate ETF,27.98,48825,31660,8.24%,No,No,4.68%,-0.07%,21.60%,n/a,n/a,Real Estate,2015-08-13,0.40%,Not Available,$0.52,2016-06-17,$0.05,1.87%,29.93,-1.58,29,37.59%,$26.45,$28.69,$27.68,$28.19,54,19.80%,35%,15%,1099,n/a,B+,n/a,n/a,n/a,C+,n/a
NAIL,Direxion Daily Homebuilders & Supplies Bull 3x Shares ETF,26.55,2668,1523,-8.16%,No,3x,3.51%,-11.79%,-8.57%,n/a,n/a,Leveraged Equities,2015-08-19,0.95%,Not Available,n/a,n/a,n/a,n/a,14.31,-5.77,10,318.98%,$24.32,$33.21,$26.41,$26.83,42,61.20%,35%,15%,1099,C+,B+,n/a,n/a,n/a,n/a,n/a
CLAW,Direxion Daily Homebuilders & Supplies Bear 3x Shares ETF,32.27,3233,1411,-25.14%,Yes,3x,-5.62%,13.23%,-20.38%,n/a,n/a,Inverse Equities,2015-08-19,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,4.94,8,282.15%,$26.73,$35.54,n/a,n/a,52,58.06%,35%,15%,1099,n/a,B,n/a,n/a,n/a,n/a,n/a
DPST,Direxion Daily Regional Banks Bull 3x Shares ETF,33.82,1699,1781,3.11%,No,3x,4.00%,3.84%,11.18%,n/a,n/a,Leveraged Equities,2015-08-19,0.95%,Not Available,n/a,n/a,n/a,n/a,14.97,4.33,58,265.31%,$31.56,$36.00,n/a,n/a,58,75.15%,35%,15%,1099,C,B+,n/a,n/a,n/a,n/a,n/a
WDRW,Direxion Daily Regional Banks Bear 3x Shares ETF,22.04,1098.5,2485,-38.68%,Yes,3x,-7.39%,-9.41%,-52.60%,n/a,n/a,Inverse Equities,2015-08-19,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-5.83,6,320.99%,$21.14,$24.74,$21.74,$22.64,40,84.63%,35%,15%,1099,n/a,B,n/a,n/a,n/a,n/a,n/a
INC,iShares U.S. Fixed Income Balanced Risk ETF,99.43,59610,300,2.58%,No,No,0.10%,0.94%,1.71%,n/a,n/a,Total Bond Market,2015-02-24,0.25%,Not Available,$1.99,2016-04-01,$0.27,2.00%,n/a,0.14,481,14.43%,$98.51,$99.77,$99.42,$99.43,70,3.32%,35%,15%,1099,C,B,n/a,B+,B+,n/a,B-
NEAR,iShares Short Maturity Bond ETF,50.20,2046528,566502,0.51%,No,No,0.04%,0.00%,0.66%,n/a,n/a,Money Market,2013-09-25,0.25%,Not Available,$0.22,2016-04-01,$0.04,0.44%,n/a,0.04,327,11.72%,$50.14,$50.21,$50.18,$50.22,58,0.66%,35%,15%,1099,B+,B,A-,B,A-,n/a,B
VTEB,Vanguard Tax-Exempt Bond ETF,52.25,500863.3,93778,3.53%,No,No,0.10%,-0.44%,6.02%,n/a,n/a,National Munis,2015-08-18,0.12%,Not Available,$0.82,2016-09-01,$0.08,1.57%,n/a,-0.21,1737,2.57%,$52.07,$52.64,$52.18,$52.36,46,2.96%,,,,A-,A,n/a,A-,C+,n/a,A-
CSA,Victory CEMP US Small Cap Volatility Wtd Index ETF,36.91,14480,4657,12.85%,No,No,2.96%,1.33%,14.87%,n/a,n/a,Small Cap Blend Equities,2015-07-08,0.35%,Not Available,$0.42,2016-09-07,$0.08,1.15%,23.20,1.20,495,3.87%,$35.71,$37.17,$36.91,$36.91,59,19.52%,35%,15%,1099,n/a,B,n/a,n/a,n/a,n/a,n/a
CDL,Victory CEMP US Large Cap High Div Volatility Wtd Index ETF,38.88,60403.5,17862,15.59%,No,No,1.67%,1.28%,21.01%,n/a,n/a,Large Cap Value Equities,2015-07-08,0.35%,Not Available,$1.17,2016-09-07,$0.10,2.99%,18.50,1.02,99,15.50%,$37.92,$39.16,n/a,n/a,56,11.36%,35%,15%,1099,n/a,B,n/a,n/a,n/a,n/a,n/a
CSB,Victory CEMP US Small Cap High Div Volatility Wtd Index ETF,37.08,20295,5085,14.95%,No,No,2.83%,0.92%,18.97%,n/a,n/a,Small Cap Value Equities,2015-07-08,0.35%,Not Available,$1.11,2016-09-07,$0.17,3.02%,20.60,1.15,100,16.38%,$35.93,$37.57,$37.08,$37.08,58,15.92%,35%,15%,1099,n/a,B,n/a,n/a,n/a,n/a,n/a
VAMO,Cambria Value and Momentum ETF,23.39,4694,1284,2.48%,No,No,1.52%,1.12%,-6.11%,n/a,n/a,Hedge Fund,2015-09-09,0.59%,Interactive Brokers,$0.30,2016-06-27,$0.23,1.26%,14.15,0.77,110,98.53%,$22.83,$23.51,$23.31,$23.46,58,8.35%,39%,20%,1099,n/a,A,n/a,n/a,n/a,n/a,n/a
PILL,Direxion Daily Pharmaceutical & Medical Bull 2x Shares ETF,28.45,1466,380,-20.71%,No,2x,-3.95%,-11.09%,-25.50%,n/a,n/a,Leveraged Equities,2015-09-16,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-2.87,5,200.10%,$27.78,$32.25,n/a,n/a,37,39.02%,39%,20%,1099,C,B+,n/a,n/a,n/a,n/a,n/a
PILS,Direxion Daily Pharmaceutical & Medical Bear 2x Shares ETF,39.12,1958,118,2.60%,Yes,2x,0.00%,5.56%,-6.66%,n/a,n/a,Inverse Equities,2015-09-16,0.80%,Not Available,n/a,n/a,n/a,n/a,n/a,-7.04,6,199.81%,$34.44,$43.48,n/a,n/a,43,n/a,39%,20%,1099,n/a,A-,n/a,n/a,n/a,n/a,n/a
IBMK,iBonds Dec 2022 Term Muni Bond ETF,26.32,51226.5,14460,2.71%,No,No,0.15%,-0.42%,4.96%,n/a,n/a,National Munis,2015-09-01,0.18%,Not Available,$0.22,2016-04-01,$0.03,0.84%,n/a,-0.18,652,6.77%,$26.22,$26.50,$26.29,$26.34,45,2.70%,39%,20%,1099,C+,A-,n/a,C+,C,B+,C+
IBMJ,iBonds Dec 2021 Term Muni Bond ETF,26.02,59708,21645,2.02%,No,No,0.12%,-0.72%,3.65%,n/a,n/a,National Munis,2015-09-01,0.18%,Not Available,$0.19,2016-04-01,$0.03,0.74%,n/a,-0.18,660,7.00%,$25.91,$26.23,n/a,n/a,42,2.34%,39%,20%,1099,C+,A,n/a,C+,C,A-,B-
YLD,Principal EDGE Active Income ETF,40.57,31713,8165,13.41%,No,No,0.67%,0.55%,12.14%,n/a,n/a,High Yield Bonds,2015-07-08,0.85%,Not Available,$1.80,2016-09-01,$0.18,4.68%,17.33,1.81,144,15.12%,$39.27,$41.17,$40.57,$40.57,55,13.95%,39%,20%,1099,A-,C,n/a,n/a,B+,C+,C+
TPYP,North American Pipeline Fund,23.48,36626.5,15780,38.09%,No,No,2.79%,4.42%,20.23%,n/a,n/a,MLPs,2015-06-30,0.40%,Not Available,$0.88,2016-09-20,$0.21,3.72%,24.51,1.66,92,55.61%,$22.11,$23.89,n/a,n/a,58,18.67%,39%,20%,1099,B,A+,n/a,n/a,B,B,A-
PTLC,Pacer Trendpilot 750 ETF,23.18,,82798,0.52%,No,No,1.27%,0.00%,-1.54%,n/a,n/a,Large Cap Blend Equities,2015-06-12,0.60%,Not Available,n/a,n/a,n/a,n/a,18.50,1.00,742,18.80%,$22.71,$23.47,n/a,n/a,53,12.24%,39%,20%,1099,n/a,C+,n/a,n/a,n/a,C,n/a
PTMC,Pacer Trendpilot 450 ETF,25.58,,35420,10.40%,No,No,2.16%,0.55%,10.02%,n/a,n/a,Mid Cap Blend Equities,2015-06-12,0.60%,Not Available,n/a,n/a,n/a,n/a,19.71,1.23,497,5.59%,$24.83,$25.99,$25.47,$25.72,54,14.51%,39%,20%,1099,n/a,C+,n/a,n/a,n/a,C,n/a
PTNQ,Pacer Trendpilot 100 ETF,22.95,,17037,-4.06%,No,No,1.28%,2.05%,-4.15%,n/a,n/a,Large Cap Blend Equities,2015-06-12,0.65%,Not Available,n/a,n/a,n/a,n/a,20.62,0.97,107,50.42%,$22.21,$22.99,n/a,n/a,60,12.37%,39%,20%,1099,n/a,C+,n/a,n/a,n/a,B,n/a
ICVT,iShares Convertible Bond ETF,47.43,14334,5335,3.99%,No,No,1.89%,0.15%,5.30%,n/a,n/a,Corporate Bonds,2015-06-02,0.35%,Not Available,$0.68,2016-04-01,$0.06,1.41%,n/a,0.80,163,21.73%,$46.39,$47.73,n/a,n/a,57,12.24%,39%,20%,1099,C,C+,n/a,C,B-,C+,C
IBDQ,iBonds Dec 2025 Term Corporate ETF,25.61,63575,16183,7.46%,No,No,0.91%,0.00%,7.40%,n/a,n/a,Corporate Bonds,2015-03-11,0.10%,Not Available,$0.40,2016-04-01,$0.07,1.58%,n/a,0.53,285,14.06%,$25.24,$25.82,n/a,n/a,53,5.81%,39%,20%,1099,B,A,n/a,B-,A,B,A-
IBDP,iBonds Dec 2024 Term Corporate ETF,25.50,57082.5,22662,6.86%,No,No,0.31%,-0.43%,6.81%,n/a,n/a,Corporate Bonds,2015-03-11,0.10%,Not Available,$0.39,2016-04-01,$0.07,1.55%,n/a,0.45,267,13.17%,$25.26,$25.79,n/a,n/a,49,5.29%,39%,20%,1099,B,A,n/a,B-,A,B,A-
